User Id,Ad Id,Status,Brand,Part Code,State,Title,Description,_Price,_Currency,Link To Ad,Link To Pictures,Quantity
21662304,229446989,active,bmw,9192897,,Grila centrala bord ventilatie bmw5 F10 F11 9192897,"Spira volan cu manete bmw seria5 F10 F11, in stare buna/verificata, disponibil si alte piese , pentru mai multe detalii nu ezitati sa ma contactati, doresc si ofer seriozitate!",300,RON,https://www.olx.ro/229446989,https://frankfurt.apollo.olxcdn.com/v1/files/p1ta9rd290ar-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/m04pg8rjzzfd1-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/zs71p3ov5nd63-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/ew40sh5u9szq-RO/image.webp;,1
21662304,252603206,active,bmw,"65129351688, 9351688, 65129368387, 9368387, 65129365772, 9365772",,"Unitate dvd cotiera Bmw F07 F10 F11 F15 F16 F85 F86 X5 X6,9351688","Unitate dvd cotiera Bmw F07 F10 F11 F15 F16 F85 F86 X5 X6.
5' F07 GT   (09/2008 — 06/2013)
5' F07 GT LCI   (08/2012 — 02/2017)
5' F10   (01/2009 — 10/2016)
5' F10 LCI   (08/2012 — 10/2016)
5' F11   (01/2009 — 06/2013)
5' F11 LCI   (08",1200,RON,https://www.olx.ro/252603206,https://frankfurt.apollo.olxcdn.com/v1/files/izne6or27fzj1-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/e5fe8qv1wswo-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/lw7t85bojgar-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/2k6qehvd9x8o-RO/image.webp;,1
21662304,222850647,active,bmw,,,Claxon bmw f10 f11 seria5,"Claxon bmw f10 f11 , nou, pentru mai multe detalii nu ezitati sa ma contactati, doresc si ofer seriozitate!",100,RON,https://www.olx.ro/222850647,https://frankfurt.apollo.olxcdn.com/v1/files/bemmxp69t5r9-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/5usamjlt2rze1-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/fp9ctn88h0cc3-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/4nncoxh2nnn42-RO/image.webp;,1
21662304,223071812,active,bmw,7120020,,"Suport baterie bmw E90 seria 3, 7120020, Bmw 3 E90, 05-2011","Suport baterie, 5171-7120020, Bmw 3 (E90) 2005- 2011, in stare buna, disponibil si alte piese bmw , pentru mai multe detalii nu ezitati sa ma contactati, doresc si ofer seriozitate!",170,RON,https://www.olx.ro/223071812,https://frankfurt.apollo.olxcdn.com/v1/files/3m8f3ed1sl3q-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/ekg156muw3693-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/krc75eg39sir2-RO/image.webp;,1
21662304,223558858,active,bmw,6932794,,"Bloc lumini Bmw1 bmw3 e90 e87, seria1, seria3, cod 6932794","Bloc lumini Bmw e90 e87, cod 6932794, disponibil si alte piese bmw, pentru mai multe detalii nu ezitati sa ma contactati, doresc si ofer seriozitate, blocul este compatibil cu urmatoarele modele:

1&#039; E81   (02/2006 — 12/2011)
1&#039; E87   (02/2003 — 02/2007)
1&#039; E87 LCI   (01/2006 — 06/2011)
1&#039; E88   (11/2006 — 10/2013)
1&#039; E82   (11/2006 — 10/2013)
3&#039; E90   (02/2004 — 09/2008)
3&#039; E91   (02/2004 — 08/2008)
X1 E84   (09/2008 — 06/2015)!",90,RON,https://www.olx.ro/223558858,https://frankfurt.apollo.olxcdn.com/v1/files/p3xqqkknxsm92-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/nxu95mde6rfz-RO/image.webp;,1
21662304,223577423,active,bmw,410475520,,"Motoras aeroterma, 410475520","Motoras aeroterma, compatibile pe orice model de masina!401475520! Doresc si ofer seriozitate, pretul este per bucata!",30,RON,https://www.olx.ro/223577423,https://frankfurt.apollo.olxcdn.com/v1/files/xk5ky6zjx4773-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/4lj951r6ort73-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/o7uw80vut56w2-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/khr0g8fbm03e3-RO/image.webp;,1
21662304,224246733,active,bmw,9155352,,"Conducta clima bmw5 E60 E61 seria5, n47, 07-2010, 9155352","Conducta clima bmw E60 E61 seria5, 2007-2010, n47, 9155352, 2.0D, in stare buna, disponibil si alte piese bmw, pentru mai multe detalii nu ezitati sa ma contactati, doresc si ofer seriozitate!",180,RON,https://www.olx.ro/224246733,https://frankfurt.apollo.olxcdn.com/v1/files/e7v9x8c0j9wk-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/ov0cm6iksj67-RO/image.webp;,1
21662304,222271226,active,bmw,64524149481,,"Compresor ac bmw3 e46 seria 3, 316i 318i, 97-2002","Compresor ac bmw e46 compatibil cu urmatoarele:

64524149481 (11/01/1998 — 10/05/1998)
Part 64528386837 was found on the following E46 vehicles:
3&#039; E46, 316Ci, Coupe, M43, EUR, (BL51) : RP A/C compressor
3&#039; E46, 316Ci, Coupe, M43, EUR, (BL51) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.6, Sedan, M43, EUR, (AL51) : RP A/C compressor
3&#039; E46, 316i 1.6, Sedan, M43, EUR, (AL51) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.6, Sedan, M43, EUR, (ER51) : RP A/C compressor
3&#039; E46, 316i 1.6, Sedan, M43, EUR, (ER51) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (AL11) : RP A/C compressor
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (AL11) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (AL12) : RP A/C compressor
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (AL12) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (AN72) : RP A/C compressor
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (AN72) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (ER11) : RP A/C compressor
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (ER11) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (ER12) : RP A/C compressor
3&#039; E46, 316i 1.9, Sedan, M43, EUR, (ER12) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318Ci, Coupe, M43, EUR, (BL31) : RP A/C compressor
3&#039; E46, 318Ci, Coupe, M43, EUR, (BL31) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318Ci, Coupe, M43, EUR, (BL32) : RP A/C compressor
3&#039; E46, 318Ci, Coupe, M43, EUR, (BL32) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318i, Sedan, M43, EUR, (AL31) : RP A/C compressor
3&#039; E46, 318i, Sedan, M43, EUR, (AL31) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318i, Sedan, M43, EUR, (AL32) : RP A/C compressor
3&#039; E46, 318i, Sedan, M43, EUR, (AL32) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318i, Sedan, M43, EUR, (AN91) : RP A/C compressor
3&#039; E46, 318i, Sedan, M43, EUR, (AN91) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318i, Sedan, M43, EUR, (AN92) : RP A/C compressor
3&#039; E46, 318i, Sedan, M43, EUR, (AN92) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318i, Touring, M43, EUR, (AP31) : RP A/C compressor
3&#039; E46, 318i, Touring, M43, EUR, (AP31) : Compressore climatiz. - Ricambi Usati
3&#039; E46, 318i, Touring, M43, EUR, (AP32) : RP A/C compressor
3&#039; E46, 318i, Touring, M43, EUR, (AP32) : Compressore climatiz. - Ricambi Usati",300,RON,https://www.olx.ro/222271226,https://frankfurt.apollo.olxcdn.com/v1/files/jsfbaiehak1y2-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/1evsow5e7ufe3-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/zoqv2h6pynjp3-RO/image.webp;,1
21662304,232595658,active,bmw,7566109,,"Senzor cutie viteze bmw 318d 118d seria1 seria3, 7566109, n47, 143cp","Senzor cutie viteze, manuala bmw seria1 seria3, e87 e81 e90 e91, 318d 118d, n47, 143cp, in stare buna/verificat, 2007-2011, disponibil si alte piese bmw, pentru mai multe detalii nu ezitati sa ma contactati, doresc si ofer seriozitate!",100,RON,https://www.olx.ro/232595658,https://frankfurt.apollo.olxcdn.com/v1/files/cxpozen0f1is-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/853d7sik1z0x1-RO/image.webp;,1
21662304,252773370,active,bmw,"7522205, 1067401083",,"CUTIE VITEZE manuala Bmw E60 E61 525d 530d 7522205, 1067401083","CUTIE VITEZE manuala Bmw E60 E61 525d 530d 7522205, 1067401083!
5' E60   (02/2002 — 02/2007)
5' E60 LCI   (11/2005 — 12/2009)
5' E61   (11/2002 — 02/2007)
5' E61 LCI   (11/2005 — 05/2010)
Avem si alte piese pentru aceasta masina. Dati click",1000,RON,https://www.olx.ro/252773370,https://frankfurt.apollo.olxcdn.com/v1/files/8mopj9ebeknl3-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/p5rbewr8unc23-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/2nd5g816iw02-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/4b3wv2afi86g3-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/8snl81ns6zqw1-RO/image.webp;https://frankfurt.apollo.olxcdn.com/v1/files/b5viti211iqc2-RO/image.webp;,1
